34928	35048	35167	35286	35405	35524	35644	35763	35882	36001	36120	36240	36359	36478	36597	36716	36836	36955	37074	37193	37313	37432	37551	37670	37789	37909	38028	38147	38266	38385	38505	38624	38743	38862	38981	39101	39220	39339	39458	39577	39697	39816	39935	40054	40174	40293	40412	40531	40650	40770	40889	41008	41127	41246	41366	41485	41604	41723	41842	41962	42081	42200	42319	42439	42558	42677	42796	42915	43035	43154	43273	43392	43511	43631	43750	43869	43988	44107	44227	44346	44465	44584	44703	44823	44942
510	478	417	421	442	379	349	315	305	284	211	179	193	176	146	189	247	233	256	334	383	414	393	469	537	550	528	570	606	688	616	644	669	738	586	628	674	583	663	608	732	381	875	449	700	475	752	563	854	229	1000	304	644	971	752	659	753	490	667	618	576	465	710	520	493	560	561	540	500	481	491	452	429	417	366	366	295	274	268	214	201	154	112	91	49
26	17	16	10	19	7	13	6	9	5	2	8	6	6	12	8	13	7	15	19	7	11	18	20	18	13	11	5	43	71	44	57	4	118	107	133	109	53	211	184	247	88	42	168	252	264	302	208	259	157	457	459	537	1000	559	737	582	505	383	100	161	92	77	41	36	47	26	31	49	38	49	40	26	50	23	21	26	25	31	14	21	20	12	16	4
126	30	120	47	98	83	77	139	43	59	28	101	112	63	71	20	101	75	131	102	47	88	101	241	167	72	94	153	282	206	354	337	142	322	220	384	459	220	265	99	439	656	694	911	858	699	711	533	451	456	254	350	312	595	907	901	1000	938	617	491	264	225	399	313	373	310	59	68	74	229	170	55	87	53	179	134	94	91	31	112	106	124	103	23	61
74	32	105	8	78	21	76	22	76	50	68	31	60	68	50	51	37	56	11	98	46	79	31	122	25	48	120	197	92	121	133	273	157	162	89	221	180	240	21	139	264	459	360	365	124	299	283	277	96	542	722	764	471	294	642	1000	904	550	280	280	407	283	277	185	261	103	165	116	185	34	111	54	90	46	98	66	67	57	90	51	49	85	105	57	39
110	45	82	3	95	12	78	60	79	62	78	69	23	74	40	50	97	106	69	12	111	23	108	87	162	55	128	69	50	202	144	147	110	360	213	132	150	374	112	126	413	566	389	465	453	420	113	364	652	791	944	999	577	116	617	951	793	474	325	511	444	276	228	263	170	80	167	73	100	77	141	40	123	105	87	115	136	95	58	128	92	74	82	110	64
105	16	109	34	106	19	99	40	78	50	91	55	45	72	64	68	19	94	43	90	55	126	35	93	81	118	80	104	201	209	53	76	159	107	183	196	355	259	239	301	496	506	399	398	354	349	206	321	474	566	449	397	101	373	706	1000	899	848	468	367	214	377	260	312	153	262	149	197	48	157	83	144	27	87	68	119	65	126	70	84	60	97	72	74	80
101	51	95	27	105	3	107	40	82	44	79	58	38	94	48	57	72	94	49	33	111	19	121	85	168	42	133	138	147	235	249	171	69	274	182	185	147	418	219	238	252	488	432	604	561	602	326	515	720	920	767	665	186	125	603	881	1000	938	605	392	109	226	181	135	131	80	120	51	221	82	96	82	143	92	117	112	95	84	80	97	37	102	93	93	68
22	21	37	21	25	23	24	40	8	10	20	20	9	7	28	8	6	14	21	25	20	38	27	68	88	38	90	40	62	119	48	46	77	128	122	85	171	114	131	86	142	259	166	262	360	404	291	279	316	370	627	965	139	543	273	999	770	317	344	263	144	62	100	86	80	59	51	32	29	22	39	25	36	53	39	28	19	37	31	5	19	8	21	34	20
680	648	602	598	589	541	503	449	402	364	281	287	240	240	209	233	313	336	355	446	509	537	585	625	715	768	737	829	892	873	835	901	930	932	935	889	950	890	721	957	806	1000	880	775	842	794	825	790	884	938	777	825	878	470	447	808	885	776	998	831	743	830	800	748	804	773	761	707	684	701	672	604	579	544	530	452	413	390	365	269	231	209	189	112	46
22	59	14	59	4	62	6	53	11	47	15	31	28	22	34	15	45	15	50	31	55	37	53	55	41	87	60	100	57	83	35	85	63	197	177	327	256	332	190	126	60	136	195	406	406	470	349	228	187	305	554	768	852	986	921	1000	798	751	492	362	245	153	102	155	117	170	91	116	39	108	62	132	60	105	42	81	23	62	33	59	41	61	44	44	34
15	53	8	52	9	53	11	47	22	44	21	30	28	17	32	12	38	17	39	36	46	42	43	50	20	79	37	105	44	88	33	60	78	169	172	296	253	344	204	174	53	119	182	352	358	452	318	240	170	239	526	701	858	999	943	977	759	705	481	357	213	126	79	151	98	170	78	108	25	111	56	119	49	94	27	66	24	52	33	50	40	46	39	37	28
14	57	10	49	17	55	14	45	27	46	23	30	32	17	32	15	40	14	40	35	47	43	49	44	24	82	46	97	45	89	50	59	68	176	149	295	255	359	233	175	79	109	157	356	391	469	385	264	188	196	434	671	815	1000	931	959	795	680	479	324	258	121	109	138	147	146	109	91	67	92	66	116	77	79	44	69	29	54	29	60	27	54	40	42	23
19	55	15	49	25	52	22	41	34	39	31	25	37	15	38	19	40	24	38	43	42	56	40	62	22	85	29	102	31	101	31	67	72	167	175	301	258	359	211	191	62	112	166	371	373	474	352	265	150	173	446	652	813	1000	958	993	766	637	428	326	234	126	102	161	124	153	94	110	51	105	65	125	62	89	36	70	16	56	25	57	32	58	37	41	26
14	57	11	54	12	58	13	48	23	45	24	33	33	23	39	17	43	17	49	34	54	42	56	51	43	76	53	96	56	87	44	84	51	184	150	302	260	344	232	157	70	141	144	368	352	445	346	216	102	221	438	703	851	999	995	961	787	612	472	314	267	114	130	140	150	134	115	98	76	99	85	112	78	79	52	64	30	57	30	60	34	60	38	42	28
62	14	58	21	59	22	50	30	46	31	33	37	23	39	19	45	19	42	37	52	47	49	57	41	75	39	100	49	98	37	82	32	150	107	251	210	340	260	230	147	54	73	227	244	409	340	297	119	94	261	538	670	934	949	1000	884	773	628	469	377	227	189	125	136	142	147	110	94	93	78	111	92	104	77	77	53	63	32	61	38	58	38	59	41	40
28	54	22	55	14	58	13	51	8	51	12	36	23	33	30	19	43	8	47	21	62	22	59	40	53	65	71	83	67	73	42	92	31	176	131	280	252	332	258	156	87	122	111	316	309	415	300	157	50	281	455	701	845	1000	971	944	762	608	476	326	272	158	144	146	133	141	97	109	63	111	72	128	72	91	42	75	27	60	29	62	36	59	40	45	31
63	10	59	2	62	4	52	9	49	12	36	25	33	31	25	44	17	52	25	65	16	64	27	68	47	85	57	89	53	68	72	69	153	155	210	238	258	313	182	186	59	83	181	243	260	311	183	121	153	287	564	675	849	955	963	1000	759	656	416	357	221	198	120	171	110	166	73	125	52	117	55	130	69	112	44	87	35	68	29	65	38	60	44	57	42
30	53	28	54	20	55	18	45	6	49	10	32	26	33	30	19	43	10	47	22	63	21	59	39	61	60	78	70	68	51	26	110	72	196	161	254	233	316	253	140	89	144	112	253	235	276	197	43	135	356	511	750	851	999	940	961	771	605	441	279	232	149	143	147	146	128	87	99	67	101	62	121	76	89	42	77	31	58	29	61	31	56	43	48	32
